,Unnamed: 0,timestamp,ALEC1_AE1,ALEC1_AE2,ALEC1_WE1,ALEC1_WE2,ALEC1_dV1,ALEC3_AE1,ALEC3_AE2,ALEC3_WE1,ALEC3_WE2,ALEC3_dV1,ALEC3_dV2,CO_M1,ClientTS,LIS2DH12_T,LIS2DH12_X,LIS2DH12_Y,LIS2DH12_Z,NO2_M1,O3_M1,PM5000S_2_PN0.3,PM5000S_2_PN0.5,PM5000S_2_PN1,PM5000S_2_PN10,PM5000S_2_PN2.5,PM5000S_2_PN5,RulechainTS,SCD30_CO2,SCD30_RH,SCD30_T,SHTC3_RH,SHTC3_T,SPS30_PM1,SPS30_PM10,SPS30_PM2.5,SPS30_PM4,VEML6040_AL,VEML6040_Blue,VEML6040_ColorTemp,VEML6040_Green,VEML6040_RED,VEML6040_White,continuousMessages,dTS_RC_Cli,PN0_5,PN1,PN2_5,PN5,PN10,PN<1,PN<2.5,PN<4,PN<10
0,0,15/10/2024 11:00:34,1.860890269,0.570109189,0.329986036,0.59695828,-1.5309,0.778324604,1.204153895,0.754778028,1.132116079,-0.0235,-0.072,3.9344,3471725037000,29.82500076,54.83332825,-1020.0,-179.7999878,-252.4925,-71.5816,5.322450195,1.961666626,1.245900024,0.5787333374,0.8529500122,0.702583313,1728982834164,803.5356445,37.84457397,25.07857895,37.64533997,24.69533157,0.623677254,1.04525125,0.83125627,0.975234747,12.09322548,90,27296,371,586,758,0,-1742742202836,3.360783569,0.715766602,0.3929500118,0.1503666992,0.1238499756,4.076550171,4.4695001828,4.619866882,4.7437168576
1,1,15/10/2024 11:01:34,1.746232629,0.57017684,0.624072373,0.596071899,-1.1222,0.994914472,1.237742305,0.97168684,1.187120199,-0.0232,-0.0506,2.884,3471725098000,30.347826,53.52173996,-1019.695618,-178.4347839,-177.4305,-70.612,3.3875,0.9910681763,0.52225,0.20756817630000002,0.3472272644,0.2747272644,1728982894907,791.1428223,37.12455368,25.36749077,36.59363556,25.24227333,0.445227653,0.751708627,0.595875144,0.700721502,12.06634045,94,35527,374,588,763,1,-1742742203093,2.3964318237000004,0.4688181763,0.17502273559999998,0.07250000000000001,0.06715908809999999,2.8652500000000005,3.0402727356000003,3.1127727356,3.1799318237
2,2,15/10/2024 11:02:34,1.693945765,0.570510983,0.740895212,0.595509231,-0.9531,1.085269451,1.259127736,1.056064248,1.219915032,-0.0292,-0.0392,2.4493,3471725158000,30.94318008,51.49999237,-1023.636353,-174.7727203,-137.4405,-88.7838,3.3500454100000003,0.9051363525,0.46490908810000003,0.17043182369999998,0.2896590881,0.2169772797,1728982954263,676.0475464,36.40586472,25.60717583,35.57862473,25.69182014,0.435533524,0.730463922,0.580729067,0.681472182,11.80036163,94,34313,365,584,756,2,-1742742203737,2.4449090575000003,0.4402272644,0.17525000000000002,0.07268180840000002,0.04654545600000001,2.8851363219,3.0603863219000003,3.1330681303000003,3.1796135863000003
3,3,15/10/2024 11:03:34,1.654283762,0.570409119,0.813692331,0.595283866,-0.8406,1.1347754,1.273143768,1.104162812,1.24020493,-0.0306,-0.0329,2.1603,3471725218000,31.25925827,53.40740967,-1021.333313,-176.5926208,-115.4506,-93.0623,3.023537109,0.733277771,0.36659259029999997,0.12814814759999998,0.2224444427,0.1620370331,1728983014266,591.8400269,35.81457138,25.79277229,34.78333664,26.03074455,0.490406096,0.797615826,0.642818213,0.746967554,11.91052246,92,35714,364,583,757,3,-1742742203734,2.290259338,0.36668518070000006,0.14414814759999997,0.06040740959999999,0.03388888550000002,2.6569445187,2.8010926663,2.8615000759,2.8953889614
4,4,15/10/2024 11:04:34,1.61916995,0.570641935,0.866409779,0.595227897,-0.7528,1.171628475,1.285835981,1.141174436,1.258108258,-0.0305,-0.0277,1.9346,3471725278000,31.72221947,52.25925827,-1023.148315,-176.6296387,-97.1857,-92.5803,3.169722168,0.7186481323,0.3475185242,0.10637036899999999,0.2049814758,0.149277771,1728983074662,543.0001221,35.35028076,25.97734261,34.15222168,26.34258461,0.375601411,0.588065207,0.482170135,0.553417683,11.86158276,92,27226,364,582,755,4,-1742742203338,2.4510740356999996,0.3711296081,0.1425370484,0.0557037048,0.04290740200000001,2.8222036437999996,2.9647406921999995,3.0204443969999994,3.0633517989999994
5,5,15/10/2024 11:05:35,1.592296124,0.569877684,0.909929335,0.594605982,-0.6824,1.198034525,1.296310782,1.168982506,1.272893906,-0.0291,-0.0234,1.7537,3471725338000,31.90740967,50.77778244,-1021.111145,-175.2592621,-82.0762,-88.3181,3.199962158,0.7321320801000001,0.3141132202,0.1014905624,0.1799056549,0.136603775,1728983135099,526.1201172,34.93829727,26.16116524,33.64739609,26.57222176,0.326774389,0.505514979,0.416771889,0.476479024,11.90819073,92,28776,366,582,756,5,-1742742202901,2.4678300779,0.4180188599000001,0.1342075653,0.04330187989999998,0.03511321260000001,2.8858489378,3.0200565031,3.063358383,3.0984715956000004
6,6,15/10/2024 11:06:34,1.570793509,0.570230126,0.941960454,0.593950868,-0.6288,1.220075488,1.306473017,1.192797065,1.286766291,-0.0273,-0.0197,1.6161,3471725398000,32.02272797,52.63637161,-1020.0,-177.4999847,-69.0721,-82.9264,3.4428603520000003,0.9156279297,0.46206976320000004,0.2123255768,0.3082558289,0.2539302368,1728983194309,523.8571167,34.76177216,26.34966278,33.32909012,26.81681824,0.353427023,0.541219473,0.448304355,0.51081866,11.78319931,94,29480,365,584,756,6,-1742742203691,2.5272324223000004,0.4535581664999999,0.15381393430000007,0.054325592099999986,0.04160465999999999,2.9807905888000006,3.1346045231000006,3.1889301152000007,3.2305347752000007
7,7,15/10/2024 11:07:34,1.553945899,0.570351303,0.970678747,0.593352735,-0.5833,1.233946681,1.312855244,1.207131982,1.294149637,-0.0268,-0.0187,1.499,3471725458000,32.1574173,53.0,-1020.740784,-176.0740814,-65.5632,-81.5167,3.351926025,0.9233703613,0.4768703613,0.20261111450000002,0.3139814758,0.2468888855,1728983254264,563.920105,34.57599258,26.49260712,33.16666031,26.96925735,0.400595516,0.600999653,0.502591491,0.568801761,11.84760094,92,31972,364,580,755,7,-1742742203736,2.4285556637,0.44650000000000006,0.16288888549999997,0.06709259030000003,0.044277770999999966,2.8750556637,3.0379445492,3.1050371395000003,3.1493149105000002
8,8,15/10/2024 11:08:34,1.537837744,0.5699808,0.994011343,0.593547285,-0.5438,1.246657729,1.319132566,1.22012043,1.301626086,-0.0265,-0.0175,1.3976,3471725518000,32.3518486,51.51852036,-1021.740845,-174.111084,-61.3602,-80.6734,3.131481445,0.810388916,0.4107037048,0.1465185242,0.26111111449999996,0.1859074097,1728983314603,574.8798218,34.26879501,26.65218353,32.94111252,27.07406807,0.339649707,0.500747144,0.422202379,0.475048155,11.84993362,92,34517,364,580,755,8,-1742742203397,2.321092529,0.39968521119999995,0.14959259030000005,0.07520370479999997,0.0393888855,2.7207777402,2.8703703305,2.9455740353,2.9849629208
9,9,15/10/2024 11:09:35,1.523500919,0.570225835,1.013040304,0.593162537,-0.5105,1.257156134,1.324482799,1.2313447,1.307730436,-0.0258,-0.0168,1.3119,3471725578000,32.52777863,53.1111145,-1021.55542,-178.7407532,-58.717,-78.4668,2.7529057619999997,0.6258302002,0.2769811401,0.08077358246,0.16073585510000002,0.1144716949,1728983375765,566.230896,33.82379913,26.79856873,32.61778259,27.19036484,0.333504021,0.48246029,0.410455346,0.458901048,11.8895483,92,31081,366,582,756,9,-1742742202235,2.1270755618,0.3488490601,0.116245285,0.046264160200000015,0.03369811244,2.4759246219,2.5921699069,2.6384340671000004,2.6721321795400006
