,2024-09-17 LCS0076 time start,2024-09-17 LCS0076 time end,2024-09-17 LCS0076,2024-09-17 LCS0104 time start,2024-09-17 LCS0104 time end,2024-09-17 LCS0104
0,2024-09-17 11:40:00,2024-09-17 11:52:00,61.86771644228473,2024-09-17 11:40:00,2024-09-17 11:52:00,55.241791716784995
1,2024-09-17 11:58:00,2024-09-17 12:05:00,83.02265741422518,2024-09-17 11:58:00,2024-09-17 12:05:00,62.24445565885179
2,2024-09-17 12:47:00,2024-09-17 12:54:00,68.30849661796755,2024-09-17 12:47:00,2024-09-17 12:54:00,69.2816153350261
3,2024-09-17 13:00:00,2024-09-17 13:15:00,88.66943108512497,2024-09-17 13:00:00,2024-09-17 13:15:00,79.37184194829386
4,2024-09-17 13:34:00,2024-09-17 13:49:00,56.71219041691259,2024-09-17 13:34:00,2024-09-17 13:49:00,55.10308076977681
5,2024-09-17 13:52:00,2024-09-17 14:07:00,88.91108680412562,2024-09-17 13:52:00,2024-09-17 14:07:00,65.51077983160725
6,2024-09-17 14:10:00,2024-09-17 14:25:00,74.0972887997018,2024-09-17 14:10:00,2024-09-17 14:25:00,83.12304111159773
7,2024-09-17 14:28:00,2024-09-17 14:43:00,59.4401627443772,2024-09-17 14:28:00,2024-09-17 14:43:00,54.1025050257062
8,2024-09-17 14:46:00,2024-09-17 00:00:00,,2024-09-17 14:46:00,2024-09-17 15:01:00,94.70530047293089
9,2024-09-17 00:00:00,2024-09-17 15:19:00,25.13543533333738,2024-09-17 15:04:00,2024-09-17 15:19:00,89.74158473258363
10,2024-09-17 15:22:00,2024-09-17 00:00:00,,2024-09-17 15:22:00,2024-09-17 15:36:00,74.78881341065038
11,2024-09-17 00:00:00,2024-09-17 15:53:00,26.829364394152755,2024-09-17 15:44:00,2024-09-17 15:53:00,75.24027554127319
12,2024-09-17 00:00:00,2024-09-17 16:24:00,27.87439339732282,2024-09-17 16:09:00,2024-09-17 16:24:00,52.896899562781506
13,2024-09-17 16:27:00,2024-09-17 16:42:00,57.140385587997265,2024-09-17 16:27:00,2024-09-17 16:42:00,47.626436680397624
14,2024-09-17 16:45:00,2024-09-17 17:00:00,62.448561453404736,2024-09-17 16:45:00,2024-09-17 17:00:00,70.31674664969009
15,2024-09-17 17:03:00,2024-09-17 17:18:00,60.94822219205269,2024-09-17 17:03:00,2024-09-17 17:18:00,68.78773648762223
16,2024-09-17 17:21:00,2024-09-17 17:36:00,87.15015396498353,2024-09-17 17:21:00,2024-09-17 00:00:00,
17,2024-09-17 17:39:00,2024-09-17 17:54:00,83.43086033731574,2024-09-17 00:00:00,2024-09-17 17:54:00,29.833365460908897
18,2024-09-17 00:00:00,2024-09-17 18:30:00,32.97565854681909,2024-09-17 18:19:00,2024-09-17 18:30:00,72.00920170719711
