,dm5_20240917_1105 time start,dm5_20240917_1105 time end,dm5_20240917_1105,dm1_20240917_1528 time start,dm1_20240917_1528 time end,dm1_20240917_1528,dm4_20240917_1103 time start,dm4_20240917_1103 time end,dm4_20240917_1103
0,2024-09-17 11:36:00.500,2024-09-17 11:48:00.500,10252.527777777777,2024-09-17 15:28:50.500,2024-09-17 15:28:50.500,,2024-09-17 11:36:05.500,2024-09-17 11:48:05.500,10823.541666666666
1,2024-09-17 11:54:00.500,2024-09-17 12:01:00.500,13142.47619047619,2024-09-17 15:28:50.500,2024-09-17 15:28:50.500,,2024-09-17 11:54:05.500,2024-09-17 12:01:05.500,10376.0
2,2024-09-17 12:39:00.500,2024-09-17 12:50:00.500,12059.0,2024-09-17 15:28:50.500,2024-09-17 15:28:50.500,,2024-09-17 12:39:05.500,2024-09-17 12:50:05.500,11404.075757575758
3,2024-09-17 12:56:00.500,2024-09-17 13:11:00.500,11515.142857142857,2024-09-17 15:28:50.500,2024-09-17 15:28:50.500,,2024-09-17 12:56:05.500,2024-09-17 13:11:05.500,11184.202380952382
4,2024-09-17 13:30:00.500,2024-09-17 13:45:00.500,8460.111111111111,2024-09-17 15:28:50.500,2024-09-17 15:28:50.500,,2024-09-17 13:30:05.500,2024-09-17 13:45:05.500,4053.2444444444445
5,2024-09-17 13:48:00.500,2024-09-17 14:03:00.500,14805.31111111111,2024-09-17 15:28:50.500,2024-09-17 15:28:50.500,,2024-09-17 13:48:05.500,2024-09-17 14:03:05.500,8516.297619047618
6,2024-09-17 14:06:00.500,2024-09-17 14:21:00.500,18605.855555555554,2024-09-17 15:28:50.500,2024-09-17 15:28:50.500,,2024-09-17 14:06:05.500,2024-09-17 14:21:05.500,7770.622222222222
7,2024-09-17 14:24:00.500,2024-09-17 14:39:00.500,16494.644444444446,2024-09-17 15:28:50.500,2024-09-17 15:28:50.500,,2024-09-17 14:25:05.500,2024-09-17 14:40:05.500,9528.077777777778
8,2024-09-17 14:42:00.500,2024-09-17 14:57:00.500,13368.58888888889,2024-09-17 15:28:50.500,2024-09-17 15:28:50.500,,2024-09-17 14:44:05.500,2024-09-17 14:59:05.500,18116.722222222223
9,2024-09-17 15:00:00.500,2024-09-17 15:15:00.500,11548.809523809523,2024-09-17 15:28:50.500,2024-09-17 15:28:50.500,,2024-09-17 14:59:05.500,2024-09-17 15:14:05.500,16638.095238095237
10,2024-09-17 15:18:00.500,2024-09-17 15:32:00.500,11702.297619047618,2024-09-17 15:28:50.500,2024-09-17 15:32:00.500,10563.105263157895,2024-09-17 15:16:05.500,2024-09-17 15:31:05.500,10801.544444444444
11,2024-09-17 15:40:00.500,2024-09-17 15:49:00.500,10621.777777777777,2024-09-17 15:40:00.500,2024-09-17 15:49:00.500,7814.777777777777,2024-09-17 15:40:05.500,2024-09-17 15:49:05.500,10170.462962962964
12,2024-09-17 16:05:10.500,2024-09-17 16:20:00.500,10026.52808988764,2024-09-17 16:06:00.500,2024-09-17 16:21:00.500,11963.666666666666,2024-09-17 16:08:05.500,2024-09-17 16:23:05.500,17155.411111111112
13,2024-09-17 16:23:00.500,2024-09-17 16:38:00.500,18846.17777777778,2024-09-17 16:22:00.500,2024-09-17 16:37:00.500,7780.6547619047615,2024-09-17 16:25:05.500,2024-09-17 16:40:05.500,7162.811111111111
14,2024-09-17 16:41:00.500,2024-09-17 16:56:00.500,19270.355555555554,2024-09-17 16:40:00.500,2024-09-17 16:55:00.500,12182.344444444445,2024-09-17 16:41:05.500,2024-09-17 16:56:05.500,10550.766666666666
15,2024-09-17 16:59:00.500,2024-09-17 17:14:00.500,14492.02380952381,2024-09-17 16:58:00.500,2024-09-17 17:13:00.500,12311.611111111111,2024-09-17 17:00:05.500,2024-09-17 17:15:05.500,10548.904761904761
16,2024-09-17 17:17:00.500,2024-09-17 17:32:00.500,15630.633333333333,2024-09-17 17:16:00.500,2024-09-17 17:31:00.500,15269.285714285714,2024-09-17 17:18:05.500,2024-09-17 17:33:05.500,11943.266666666666
17,2024-09-17 17:35:00.500,2024-09-17 17:50:00.500,10853.466666666667,2024-09-17 17:33:00.500,2024-09-17 17:48:00.500,10110.4,2024-09-17 17:33:05.500,2024-09-17 17:48:05.500,12806.266666666666
18,2024-09-17 18:15:00.500,2024-09-17 18:27:10.500,5182.178082191781,2024-09-17 18:15:00.500,2024-09-17 18:26:10.500,5124.611940298508,2024-09-17 11:03:05.500,2024-09-17 11:03:05.500,
