,0353_240919114700 time start,0353_240919114700 time end,0353_240919114700,0369_240919114800 time start,0369_240919114800 time end,0369_240919114800
0,0 days 12:37:00,0 days 12:41:00,0.0,0 days 12:37:00,0 days 12:41:00,0.76875
1,0 days 12:41:00,0 days 12:51:00,0.0,0 days 12:41:00,0 days 12:51:00,0.6363
2,0 days 13:05:00,0 days 13:46:00,0.0,0 days 13:05:00,0 days 13:46:00,0.6650731707317072
3,0 days 13:52:00,0 days 14:07:00,0.0,0 days 13:52:00,0 days 14:07:00,18.998733333333334
4,0 days 14:11:00,0 days 14:26:00,0.0,0 days 14:11:00,0 days 14:26:00,50.813
5,0 days 14:30:00,0 days 14:46:00,4.0963125,0 days 14:31:00,0 days 14:46:00,12.756133333333334
6,0 days 14:50:00,0 days 15:05:00,14.483933333333333,0 days 14:50:00,0 days 15:05:00,13.853866666666669
7,0 days 15:51:00,0 days 16:06:00,35.89773333333333,0 days 15:51:00,0 days 16:04:00,52.97853846153846
8,0 days 16:09:00,0 days 16:25:00,37.645312499999996,0 days 16:09:00,0 days 16:24:00,91.29720000000002
9,0 days 16:47:00,0 days 17:04:00,13.175764705882353,0 days 16:45:00,0 days 17:00:00,28.4254
10,0 days 16:27:00,0 days 16:44:00,26.617882352941173,0 days 16:27:00,0 days 16:40:00,24.64469230769231
