,Carbon Dioxide time start,Carbon Dioxide time end,Carbon Dioxide,Carbon Monoxide time start,Carbon Monoxide time end,Carbon Monoxide,Nitrogen Dioxide time start,Nitrogen Dioxide time end,Nitrogen Dioxide,PM25 time start,PM25 time end,PM25
0,2024-09-17 11:36:00,2024-09-17 11:48:00,741.5657399416667,2024-09-17 11:36:00,2024-09-17 11:48:00,1.2913499573333336,2024-09-17 11:36:00,2024-09-17 11:48:00,23.459166666666665,2024-09-17 11:36:00,2024-09-17 11:48:00,5.835282882166667
1,2024-09-17 11:54:00,2024-09-17 12:01:00,763.5842459571429,2024-09-17 11:54:00,2024-09-17 12:01:00,1.2573739971428572,2024-09-17 11:54:00,2024-09-17 12:01:00,19.658571428571427,2024-09-17 11:54:00,2024-09-17 12:01:00,7.413212844428571
2,2024-09-17 12:39:00,2024-09-17 12:50:00,821.6439486454545,2024-09-17 12:39:00,2024-09-17 12:50:00,1.2135684597272727,2024-09-17 12:39:00,2024-09-17 12:50:00,16.186363636363637,2024-09-17 12:39:00,2024-09-17 12:50:00,9.20769821590909
3,2024-09-17 12:56:00,2024-09-17 13:11:00,686.2633341466667,2024-09-17 12:56:00,2024-09-17 13:11:00,1.2302709022666667,2024-09-17 12:56:00,2024-09-17 13:11:00,10.942,2024-09-17 12:56:00,2024-09-17 13:11:00,9.579304663066669
4,2024-09-17 13:30:00,2024-09-17 13:45:00,570.6825927733333,2024-09-17 13:30:00,2024-09-17 13:45:00,1.2647184928666666,2024-09-17 13:30:00,2024-09-17 13:45:00,11.659333333333333,2024-09-17 13:30:00,2024-09-17 13:45:00,5.8713965734
5,2024-09-17 13:49:00,2024-09-17 14:03:00,606.5849173500001,2024-09-17 13:49:00,2024-09-17 14:03:00,1.2760250569285714,2024-09-17 13:49:00,2024-09-17 14:03:00,24.485714285714288,2024-09-17 13:49:00,2024-09-17 14:03:00,6.456259386857142
6,2024-09-17 14:06:00,2024-09-17 14:21:00,736.9538045266668,2024-09-17 14:06:00,2024-09-17 14:21:00,1.2379017273333335,2024-09-17 14:06:00,2024-09-17 14:21:00,13.405333333333333,2024-09-17 14:06:00,2024-09-17 14:21:00,10.781657728066667
7,2024-09-17 14:24:00,2024-09-16 15:29:00,,2024-09-17 14:24:00,2024-09-16 15:29:00,,2024-09-17 14:24:00,2024-09-16 15:29:00,,2024-09-17 14:24:00,2024-09-16 15:29:00,
8,2024-09-16 15:29:00,2024-09-16 15:29:00,,2024-09-16 15:29:00,2024-09-16 15:29:00,,2024-09-16 15:29:00,2024-09-16 15:29:00,,2024-09-16 15:29:00,2024-09-16 15:29:00,
9,2024-09-16 15:29:00,2024-09-17 15:15:00,590.7193520302394,2024-09-16 15:29:00,2024-09-17 15:15:00,1.198835422640319,2024-09-16 15:29:00,2024-09-17 15:15:00,10.942298767222626,2024-09-16 15:29:00,2024-09-17 15:15:00,1.5866448111472082
10,2024-09-17 15:18:00,2024-09-17 15:32:00,767.0849042642857,2024-09-17 15:18:00,2024-09-17 15:32:00,1.182622458142857,2024-09-17 15:18:00,2024-09-17 15:32:00,15.061428571428568,2024-09-17 15:18:00,2024-09-17 15:32:00,8.863398518071428
11,2024-09-17 15:40:00,2024-09-17 15:49:00,856.5771552222221,2024-09-17 15:40:00,2024-09-17 15:49:00,1.2031601137777779,2024-09-17 15:40:00,2024-09-17 15:49:00,15.97888888888889,2024-09-17 15:40:00,2024-09-17 15:49:00,7.950142489555554
12,2024-09-17 16:05:00,2024-09-17 16:20:00,636.2783284466667,2024-09-17 16:05:00,2024-09-17 16:20:00,1.174980553,2024-09-17 16:05:00,2024-09-17 16:20:00,13.939333333333332,2024-09-17 16:05:00,2024-09-17 16:20:00,5.834107875799999
13,2024-09-17 16:23:00,2024-09-17 16:38:00,626.8370564733334,2024-09-17 16:23:00,2024-09-17 16:38:00,1.272084673133333,2024-09-17 16:23:00,2024-09-17 16:38:00,21.838000000000005,2024-09-17 16:23:00,2024-09-17 16:38:00,5.995536263933333
14,2024-09-17 16:41:00,2024-09-17 16:56:00,778.0625651066667,2024-09-17 16:41:00,2024-09-17 16:56:00,1.2494966189333334,2024-09-17 16:41:00,2024-09-17 16:56:00,15.261333333333337,2024-09-17 16:41:00,2024-09-17 16:56:00,9.812610308466668
15,2024-09-17 16:59:00,2024-09-17 17:14:00,809.5261271133335,2024-09-17 16:59:00,2024-09-17 17:14:00,1.1720309336,2024-09-17 16:59:00,2024-09-17 17:14:00,12.991333333333335,2024-09-17 16:59:00,2024-09-17 17:14:00,8.844015185
16,2024-09-17 17:17:00,2024-09-17 17:32:00,682.1598836266668,2024-09-17 17:17:00,2024-09-17 17:32:00,1.1862587769333333,2024-09-17 17:17:00,2024-09-17 17:32:00,12.599999999999998,2024-09-17 17:17:00,2024-09-17 17:32:00,11.387024180600001
17,2024-09-17 17:33:00,2024-09-17 17:50:00,791.4193510235295,2024-09-17 17:33:00,2024-09-17 17:50:00,1.2314908645294116,2024-09-17 17:33:00,2024-09-17 17:50:00,14.52764705882353,2024-09-17 17:33:00,2024-09-17 17:50:00,10.563180251411765
18,2024-09-17 18:15:00,2024-09-17 18:27:00,585.5157419833334,2024-09-17 18:15:00,2024-09-17 18:27:00,1.2766976158333334,2024-09-17 18:15:00,2024-09-17 18:27:00,15.525,2024-09-17 18:15:00,2024-09-17 18:27:00,7.7853434484166675
